participant_type,participant_id,model_name,encoding_type,maze_size,maze_shape,solve_rate,solve_trials,recognize_rate,recognize_trials,generate_rate,generate_trials,edit_distance_mean,edit_distance_median,edit_distance_std
human,20011205,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20011205,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.12244897959183673,0.12244897959183673,
human,20011205,human,visual,7x7,spiral,1.0,1,1.0,1,1.0,1,0.08163265306122448,0.08163265306122448,
human,20011205,human,visual,7x7,square,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,20011205,human,visual,7x7,triangle,1.0,1,1.0,1,1.0,1,0.1836734693877551,0.1836734693877551,
human,20020220,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020220,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020220,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020220,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020220,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020220,human,visual,5x5,triangle,1.0,1,1.0,1,1.0,1,0.28,0.28,
human,20020220,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,20020220,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,20020220,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.12244897959183673,0.12244897959183673,
human,20020220,human,visual,7x7,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020220,human,visual,7x7,square,1.0,1,1.0,1,1.0,1,0.16326530612244897,0.16326530612244897,
human,20020220,human,visual,7x7,triangle,1.0,1,1.0,1,1.0,1,0.14285714285714285,0.14285714285714285,
human,20020914,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020914,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020914,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020914,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020914,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020914,human,visual,5x5,triangle,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020914,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.2857142857142857,0.2857142857142857,
human,20020914,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.24489795918367346,0.24489795918367346,
human,20020914,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.20408163265306123,0.20408163265306123,
human,20020914,human,visual,7x7,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20020914,human,visual,7x7,square,1.0,1,1.0,1,1.0,1,0.32653061224489793,0.32653061224489793,
human,20020914,human,visual,7x7,triangle,1.0,1,1.0,1,1.0,1,0.22448979591836735,0.22448979591836735,
human,20021107,human,visual,5x5,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20021107,human,visual,5x5,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20021107,human,visual,5x5,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20021107,human,visual,5x5,spiral,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20021107,human,visual,5x5,square,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20021107,human,visual,5x5,triangle,1.0,1,1.0,1,0.0,1,,,
human,20021107,human,visual,7x7,C,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20021107,human,visual,7x7,Z,1.0,1,1.0,1,1.0,1,0.0,0.0,
human,20021107,human,visual,7x7,cross,1.0,1,1.0,1,1.0,1,0.0,0.0,
